Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,12.462955,0,0,0,0,1,shoe,Stim/Prac (1).jpg,phone,left,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,,
0.3,left,1,20.98831,0,1,1,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,,
0.25,right,1,2.89967,0,2,2,2,1,balloon,Stim/Prac (3).jpg,computer,right,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,,
0.25,right,1,4.17847,0,3,3,1,1,castle,Stim/Prac (2).png,car,right,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,,
0.3,right,1,3.533735,,,,,,apple,Stim/Complete/OBJ (4).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,right,kite,0.300255,0,0,0,1,1,4,Inanimate,1
0.3,left,0,102.57842,,,,,,guitar,Stim/Complete/OBJ (27).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,right,scissors,0.299585,0,1,1,18,1,27,Inanimate,1
0.3,right,1,6.73277,,,,,,spoon,Stim/Complete/OBJ (41).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,right,scissors,0.30102,0,2,2,24,1,41,Inanimate,1
0.3,left,0,18.784665,,,,,,rabbit,Stim/Complete/OBJ (38).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,right,foot,0.30063,0,3,3,23,1,38,Animate,1
0.3,right,0,7.86754,,,,,,kite,Stim/Complete/OBJ (30).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,left,key,0.300215,0,4,4,20,1,30,Inanimate,1
0.3,left,1,3.472435,,,,,,lamp,Stim/Complete/OBJ (31).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,left,apple,0.30108,0,5,5,21,1,31,Inanimate,1
0.3,right,1,2.983445,,,,,,leaf,Stim/Complete/OBJ (32).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,right,umbrella,0.300665,0,6,6,22,1,32,Inanimate,1
0.25,right,1,5.124405,,,,,,fork,Stim/Complete/OBJ (22).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,right,watch,0.29856,0,7,7,15,1,22,Inanimate,1
0.25,right,1,3.183065,,,,,,hand,Stim/Complete/OBJ (25).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,right,turtle,0.25054,0,8,8,17,1,25,Animate,1
0.25,left,1,11.031515,,,,,,bear,Stim/Complete/OBJ (6).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,left,ant,0.24871,0,9,9,2,1,6,Animate,1
0.2,left,1,3.527815,,,,,,airplane,Stim/Complete/OBJ (1).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,left,fork,0.252345,0,10,10,0,1,1,Inanimate,1
0.2,left,1,7.48955,,,,,,duck,Stim/Complete/OBJ (17).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,left,bear,0.19888,0,11,11,10,1,17,Animate,1
0.2,right,1,3.087005,,,,,,turtle,Stim/Complete/OBJ (46).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,right,rabbit,0.197345,0,12,12,28,1,46,Animate,1
0.2,right,0,78.23363,,,,,,cow,Stim/Complete/OBJ (14).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,left,hand,0.201535,0,13,13,8,1,14,Animate,1
0.2,left,1,9.478935,,,,,,foot,Stim/Complete/OBJ (21).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,left,bear,0.199895,0,14,14,14,1,21,Animate,1
0.2,left,1,6.11782,,,,,,cat,Stim/Complete/OBJ (11).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,left,penguin,0.20488,0,15,15,6,1,11,Animate,1
0.15,right,1,16.63099,,,,,,bicycle,Stim/Complete/OBJ (7).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,right,key,0.200965,0,16,16,3,1,7,Inanimate,1
0.15,left,1,4.61861,,,,,,chair,Stim/Complete/OBJ (12).png,,,6039,2021-07-07_11h01.43.850,KorNet_kid_complete,2020.2.4,MacIntel,60,left,key,0.15479,0,17,17,7,1,12,Inanimate,1
