Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,8.3856,0,0,0,0,1,shoe,Stim/Prac (1).jpg,phone,left,6051,2022-01-11_17h37.25.688,KorNet_kid_deleted,2020.2.4,Win32,60,,,,,,,,,,,
0.3,right,1,6.7114,0,1,1,2,1,balloon,Stim/Prac (3).jpg,computer,right,6051,2022-01-11_17h37.25.688,KorNet_kid_deleted,2020.2.4,Win32,60,,,,,,,,,,,
0.25,left,1,7.5973,0,2,2,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6051,2022-01-11_17h37.25.688,KorNet_kid_deleted,2020.2.4,Win32,60,,,,,,,,,,,
0.25,right,1,7.4312,0,3,3,1,1,castle,Stim/Prac (2).png,car,right,6051,2022-01-11_17h37.25.688,KorNet_kid_deleted,2020.2.4,Win32,60,,,,,,,,,,,
0.3,right,1,7.6992,,,,,,foot,Stim/OBJ (21)_IC.png,,,6051,2022-01-11_17h37.25.688,KorNet_kid_deleted,2020.2.4,Win32,60,right,elephant,0.2998,0,0,0,14,1,21,Animate,3
0.3,left,0,8.5467,,,,,,leaf,Stim/OBJ (32)_IC.png,,,6051,2022-01-11_17h37.25.688,KorNet_kid_deleted,2020.2.4,Win32,60,right,key,0.3002,0,1,1,22,1,32,Inanimate,3
0.3,right,1,7.4332,,,,,,bicycle,Stim/OBJ (7)_IC.png,,,6051,2022-01-11_17h37.25.688,KorNet_kid_deleted,2020.2.4,Win32,60,right,fork,0.3001,0,2,2,3,1,7,Inanimate,3
0.3,right,1,6.9783,,,,,,duck,Stim/OBJ (17)_IC.png,,,6051,2022-01-11_17h37.25.688,KorNet_kid_deleted,2020.2.4,Win32,60,right,rabbit,0.3015,0,3,3,10,1,17,Animate,3
0.3,left,0,7.4985,,,,,,airplane,Stim/OBJ (1)_IC.png,,,6051,2022-01-11_17h37.25.688,KorNet_kid_deleted,2020.2.4,Win32,60,right,leaf,0.2996,0,4,4,0,1,1,Inanimate,3
0.3,right,1,7.4009,,,,,,bear,Stim/OBJ (6)_IC.png,,,6051,2022-01-11_17h37.25.688,KorNet_kid_deleted,2020.2.4,Win32,60,right,ant,0.2999,0,5,5,2,1,6,Animate,3
