Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,right,1,13.2081,0,0,0,1,1,castle,Stim/Prac (2).png,car,right,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,,,,,,,,,,,
0.3,left,1,2.1173,0,1,1,0,1,shoe,Stim/Prac (1).jpg,phone,left,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,,,,,,,,,,,
0.25,left,1,7.0254,0,2,2,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,,,,,,,,,,,
0.25,right,1,2.0118,0,3,3,2,1,balloon,Stim/Prac (3).jpg,computer,right,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,,,,,,,,,,,
0.3,right,1,2.0735,,,,,,bear,Stim/OBJ (6)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,deer,0.3011,0,0,0,2,1,6,Animate,2
0.3,right,1,6.4611,,,,,,airplane,Stim/OBJ (1)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,toothbrush,0.2966,0,1,1,0,1,1,Inanimate,2
0.25,right,1,1.3492,,,,,,apple,Stim/OBJ (4)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,airplane,0.2911,0,2,2,1,1,4,Inanimate,2
0.25,left,1,2.7564,,,,,,spoon,Stim/OBJ (41)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,left,umbrella,0.2464,0,3,3,24,1,41,Inanimate,2
0.25,right,1,2.3837,,,,,,guitar,Stim/OBJ (27)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,glasses,0.2448,0,4,4,18,1,27,Inanimate,2
0.2,right,1,2.1489,,,,,,flower,Stim/OBJ (20)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,chair,0.2429,0,5,5,13,1,20,Inanimate,2
0.2,left,0,6.6605,,,,,,turtle,Stim/OBJ (46)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,mouse,0.1974,0,6,6,28,1,46,Animate,2
0.2,right,1,1.8981,,,,,,butterfly,Stim/OBJ (10)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,kangaroo,0.1969,0,7,7,5,1,10,Animate,2
0.2,right,1,7.37,,,,,,cow,Stim/OBJ (14)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,foot,0.1904,0,8,8,8,1,14,Animate,2
0.15,left,1,2.9758,,,,,,rabbit,Stim/OBJ (38)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,left,cow,0.2019,0,9,9,23,1,38,Animate,2
0.15,right,1,6.2462,,,,,,squirrel,Stim/OBJ (42)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,rabbit,0.1655,0,10,10,25,1,42,Animate,2
0.15,right,1,1.5023,,,,,,kite,Stim/OBJ (30)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,flower,0.1703,0,11,11,20,1,30,Inanimate,2
0.1,left,1,6.768,,,,,,dog,Stim/OBJ (16)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,left,bird,0.1421,0,12,12,9,1,16,Animate,2
0.1,right,1,6.6723,,,,,,elephant,Stim/OBJ (18)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,penguin,0.0958,0,13,13,11,1,18,Animate,2
0.1,left,1,3.9914,,,,,,bird,Stim/OBJ (8)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,left,kangaroo,0.089,0,14,14,4,1,8,Animate,2
0.1,right,1,2.187,,,,,,bicycle,Stim/OBJ (7)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,glasses,0.0925,0,15,15,3,1,7,Inanimate,2
0.1,left,1,6.2015,,,,,,hand,Stim/OBJ (25)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,left,cow,0.1097,0,16,16,17,1,25,Animate,2
0.1,left,1,3.9487,,,,,,foot,Stim/OBJ (21)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,left,kangaroo,0.1099,0,17,17,14,1,21,Animate,2
0.1,left,1,5.1785,,,,,,frog,Stim/OBJ (23)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,left,bird,0.1006,0,18,18,16,1,23,Animate,2
0.1,left,1,4.0565,,,,,,key,Stim/OBJ (29)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,left,glasses,0.0912,0,19,19,19,1,29,Inanimate,2
0.1,left,1,10.6264,,,,,,chair,Stim/OBJ (12)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,left,key,0.0938,0,20,20,7,1,12,Inanimate,2
0.1,left,1,1.6786,,,,,,tree,Stim/OBJ (44)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,left,guitar,0.0911,0,21,21,26,1,44,Inanimate,2
0.1,right,1,3.6421,,,,,,fish,Stim/OBJ (19)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,hand,0.1041,0,22,22,12,1,19,Animate,2
0.1,right,1,20.6116,,,,,,truck,Stim/OBJ (45)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,glasses,0.1028,0,23,23,27,1,45,Inanimate,2
0.1,left,1,3.5876,,,,,,cat,Stim/OBJ (11)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,left,rabbit,0.0916,0,24,24,6,1,11,Animate,2
0.1,right,1,3.5727,,,,,,lamp,Stim/OBJ (31)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,fork,0.0999,0,25,25,21,1,31,Inanimate,2
0.1,right,1,3.6035,,,,,,fork,Stim/OBJ (22)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,scissors,0.098,0,26,26,15,1,22,Inanimate,2
0.1,right,1,1.7857,,,,,,leaf,Stim/OBJ (32)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,apple,0.091,0,27,27,22,1,32,Inanimate,2
0.1,left,0,5.1049,,,,,,umbrella,Stim/OBJ (47)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,apple,0.1077,0,28,28,29,1,47,Inanimate,2
0.1,right,1,3.4992,,,,,,duck,Stim/OBJ (17)_ripple.png,,,6028,2021-07-12_15h07.28.900,KorNet_kid_perturbed,2020.2.4,Win32,60,right,bear,0.0906,0,29,29,10,1,17,Animate,2
