model,classifier,train_ims,condition,acc,ci,ci_low,ci_high
ResNet50-ImageNet1k,NC,300,IC,0.5835714285714285,0.023392277179930327,0.5601791513914982,0.6069637057513588
ResNet50-ImageNet21k,NC,250,IC,0.7013690476190476,0.02326393388621333,0.6781051137328343,0.7246329815052609
ResNet50-YFCC15m,logistic,300,IC,0.6897619047619047,0.019644764579682384,0.6701171401822223,0.709406669341587
ResNet50-CLIP,logistic,250,IC,0.741904761904762,0.020111626567818775,0.7217931353369432,0.7620163884725807
Adult-fast,,,deleted,0.9013112910481332,0.05161061548438186,0.8497006755637514,0.9529219065325151
Adult-slow,,,deleted,0.9680555555555556,0.03472132396498931,0.9333342315905663,1.002776879520545
5yrold-fast,,,deleted,0.6729469852258665,0.08131836862642247,0.591628616599444,0.754265353852289
5yrold-slow,,,deleted,0.7843875780932618,0.07124668485576498,0.7131408932374967,0.8556342629490268
4yrold-fast,,,deleted,0.717093839705582,0.06133498831554759,0.6557588513900344,0.7784288280211297
4yrold-slow,,,deleted,0.8256392045454546,0.06358082613325024,0.7620583784122044,0.8892200306787048
3yrold-fast,,,deleted,0.5425714858335268,0.07650254355098855,0.4660689422825382,0.6190740293845153
3yrold-slow,,,deleted,0.5792288239490075,0.05785177432325219,0.5213770496257554,0.6370805982722597
