model,classifier,train_ims,condition,acc,ci_low,ci_high,fig_number
3yrold-fast,,,complete,0.720244715610355,0.6483070789770178,0.7907040715146247,0
3yrold-slow,,,complete,0.8391865079365081,0.7711309523809523,0.9045634920634921,0
4yrold-fast,,,complete,0.7366662137149622,0.6504081344926398,0.8222694997065796,0
4yrold-slow,,,complete,0.8646373025823835,0.7907228501238887,0.9332108516483516,0
5yrold-fast,,,complete,0.834794721492478,0.7784383367736376,0.8852174716635881,0
5yrold-slow,,,complete,0.9337535014005602,0.8929254201680673,0.9686274509803923,0
Adult-fast,,,complete,0.9919590643274854,0.983625730994152,1.0,0
Adult-slow,,,complete,0.9775,0.9425000000000001,1.0,0
VoneNet_FF-EcoSet,NB,50,Outline,0.5376190476190477,0.5280357142857143,0.5473214285714286,1
VoneNet_FF-EcoSet-Style,KNN,200,Outline,0.5713690476190476,0.5551770833333333,0.5877380952380952,1
VoneNet_R-EcoSet,NC,300,Outline,0.662797619047619,0.6444047619047618,0.6811904761904762,1
VoneNet_R-EcoSet-Style,KNN,300,Outline,0.6703571428571429,0.652202380952381,0.6886919642857142,1
ResNext50_SAY,NC,300,Outline,0.6030952380952381,0.5851785714285715,0.6207157738095238,1
CVCL,logistic,300,Outline,0.5678571428571428,0.5550595238095238,0.5810729166666666,1
ConvNext-ImageNet1k,logistic,300,Outline,0.6873809523809523,0.6667857142857143,0.7086904761904763,1
ViT-ImageNet1k,logistic,300,Outline,0.6094642857142857,0.5949404761904762,0.6242261904761905,1
ViT-CLIP,logistic,300,Outline,0.9883333333333334,0.9822008928571427,0.99375,1
ResNet50-ImageNet1k,NC,250,Outline,0.6720833333333333,0.6483318452380952,0.695297619047619,2
ResNet50-ImageNet21k,NC,300,Outline,0.8206547619047619,0.7987485119047619,0.8424404761904761,2
ResNet50-YFCC15m,logistic,300,Outline,0.7327380952380952,0.7127380952380953,0.752797619047619,2
ResNet50-CLIP,SVM,250,Outline,0.9060119047619047,0.8892842261904761,0.9219657738095238,2
