model,classifier,train_ims,condition,acc,ci,ci_low,ci_high
vonenet_ff_ecoset,SVM,300,Pert_Black,0.5733333333333334,0.015325230123383453,0.5580081032099499,0.5886585634567169
vonenet_ff_stylized-ecoset,KNN,200,Pert_Black,0.6042857142857143,0.01703750180573518,0.5872482124799792,0.6213232160914495
vonenet_r_ecoset,KNN,150,Pert_Black,0.6021428571428572,0.013030478926963136,0.589112378215894,0.6151733360698204
vonenet_r_stylized-ecoset,KNN,300,Pert_Black,0.6691071428571428,0.020198849233114373,0.6489082936240285,0.6893059920902571
ShapeNet,KNN,300,Pert_Black,0.6652976190476191,0.01967813499675239,0.6456194840508667,0.6849757540443715
SayCam,NC,300,Pert_Black,0.6042261904761905,0.01844903123509894,0.5857771592410916,0.6226752217112894
convnext,logistic,300,Pert_Black,0.5780952380952381,0.01549584815353289,0.5625993899417052,0.593591086248771
vit,Ridge,300,Pert_Black,0.552202380952381,0.011249642411594969,0.540952738540786,0.5634520233639759
3yrold_fast,,,perturbed,0.6282515733053331,0.08865146269219067,0.5396001106131424,0.7169030359975238
3yrold_slow,,,perturbed,0.7829640068189354,0.08502137520557992,0.6979426316133555,0.8679853820245154
4yrold_fast,,,perturbed,0.795519140785685,0.053967014924341014,0.741552125861344,0.849486155710026
4yrold_slow,,,perturbed,0.8922123015873016,0.0534765414514935,0.8387357601358081,0.9456888430387951
5yrold_fast,,,perturbed,0.878058384284888,0.05173510271015073,0.8263232815747373,0.9297934869950387
5yrold_slow,,,perturbed,0.9120039682539682,0.04390260080381138,0.8681013674501569,0.9559065690577796
