model,obj1,obj2,condition,train_acc,acc
cornet_s_pretrained,airplane,apple,Pert,0.999,0.65
cornet_s_pretrained,airplane,bike,Pert,0.999,0.4
cornet_s_pretrained,airplane,chair,Pert,0.998,0.45
cornet_s_pretrained,airplane,flower,Pert,0.999,0.55
cornet_s_pretrained,airplane,fork,Pert,0.999,0.3
cornet_s_pretrained,airplane,guitar,Pert,0.9960000000000001,0.85
cornet_s_pretrained,airplane,key,Pert,0.9970000000000001,0.35
cornet_s_pretrained,airplane,kite,Pert,0.9960000000000001,0.15
cornet_s_pretrained,airplane,lamp,Pert,0.999,0.4
cornet_s_pretrained,airplane,leaf,Pert,0.9960000000000001,0.5
cornet_s_pretrained,airplane,spoon,Pert,0.9960000000000001,0.35
cornet_s_pretrained,airplane,tree,Pert,0.999,0.45
cornet_s_pretrained,airplane,truck,Pert,0.999,0.85
cornet_s_pretrained,airplane,umbrella,Pert,0.998,0.4
cornet_s_pretrained,apple,airplane,Pert,1.0,0.4
cornet_s_pretrained,apple,bike,Pert,1.0,0.65
cornet_s_pretrained,apple,chair,Pert,0.9960000000000001,0.5
cornet_s_pretrained,apple,flower,Pert,0.998,0.45
cornet_s_pretrained,apple,fork,Pert,1.0,0.65
cornet_s_pretrained,apple,guitar,Pert,0.999,0.5
cornet_s_pretrained,apple,key,Pert,0.998,0.4
cornet_s_pretrained,apple,kite,Pert,0.999,0.35
cornet_s_pretrained,apple,lamp,Pert,0.998,0.35
cornet_s_pretrained,apple,leaf,Pert,0.9949999999999999,0.4
cornet_s_pretrained,apple,spoon,Pert,0.998,0.35
cornet_s_pretrained,apple,tree,Pert,0.998,0.55
cornet_s_pretrained,apple,truck,Pert,0.9970000000000001,0.7
cornet_s_pretrained,apple,umbrella,Pert,0.999,0.45
cornet_s_pretrained,bike,airplane,Pert,1.0,0.4
cornet_s_pretrained,bike,apple,Pert,0.999,0.4
cornet_s_pretrained,bike,chair,Pert,0.998,0.35
cornet_s_pretrained,bike,flower,Pert,0.999,0.55
cornet_s_pretrained,bike,fork,Pert,1.0,0.5
cornet_s_pretrained,bike,guitar,Pert,1.0,0.45
cornet_s_pretrained,bike,key,Pert,0.9970000000000001,0.25
cornet_s_pretrained,bike,kite,Pert,0.999,0.45
cornet_s_pretrained,bike,lamp,Pert,0.9970000000000001,0.45
cornet_s_pretrained,bike,leaf,Pert,0.991,0.5
cornet_s_pretrained,bike,spoon,Pert,0.999,0.45
cornet_s_pretrained,bike,tree,Pert,0.999,0.45
cornet_s_pretrained,bike,truck,Pert,0.998,0.55
cornet_s_pretrained,bike,umbrella,Pert,0.9970000000000001,0.5
cornet_s_pretrained,chair,airplane,Pert,0.998,0.25
cornet_s_pretrained,chair,apple,Pert,0.9970000000000001,0.35
cornet_s_pretrained,chair,bike,Pert,0.9970000000000001,0.45
cornet_s_pretrained,chair,flower,Pert,0.999,0.5
cornet_s_pretrained,chair,fork,Pert,0.999,0.45
cornet_s_pretrained,chair,guitar,Pert,0.999,0.3
cornet_s_pretrained,chair,key,Pert,1.0,0.45
cornet_s_pretrained,chair,kite,Pert,0.999,0.5
cornet_s_pretrained,chair,lamp,Pert,0.9970000000000001,0.65
cornet_s_pretrained,chair,leaf,Pert,0.9970000000000001,0.45
cornet_s_pretrained,chair,spoon,Pert,0.999,0.55
cornet_s_pretrained,chair,tree,Pert,0.998,0.5
cornet_s_pretrained,chair,truck,Pert,0.999,0.5
cornet_s_pretrained,chair,umbrella,Pert,0.998,0.5
cornet_s_pretrained,flower,airplane,Pert,0.998,0.35
cornet_s_pretrained,flower,apple,Pert,1.0,0.55
cornet_s_pretrained,flower,bike,Pert,0.998,0.45
cornet_s_pretrained,flower,chair,Pert,0.999,0.5
cornet_s_pretrained,flower,fork,Pert,1.0,0.55
cornet_s_pretrained,flower,guitar,Pert,1.0,0.6
cornet_s_pretrained,flower,key,Pert,0.999,0.55
cornet_s_pretrained,flower,kite,Pert,0.999,0.4
cornet_s_pretrained,flower,lamp,Pert,1.0,0.65
cornet_s_pretrained,flower,leaf,Pert,0.9970000000000001,0.3
cornet_s_pretrained,flower,spoon,Pert,1.0,0.5
cornet_s_pretrained,flower,tree,Pert,0.998,0.65
cornet_s_pretrained,flower,truck,Pert,0.998,0.5
cornet_s_pretrained,flower,umbrella,Pert,0.998,0.6
cornet_s_pretrained,fork,airplane,Pert,1.0,0.5
cornet_s_pretrained,fork,apple,Pert,1.0,0.65
cornet_s_pretrained,fork,bike,Pert,1.0,0.5
cornet_s_pretrained,fork,chair,Pert,0.998,0.45
cornet_s_pretrained,fork,flower,Pert,1.0,0.3
cornet_s_pretrained,fork,guitar,Pert,0.999,0.65
cornet_s_pretrained,fork,key,Pert,0.9970000000000001,0.5
cornet_s_pretrained,fork,kite,Pert,0.998,0.5
cornet_s_pretrained,fork,lamp,Pert,0.9970000000000001,0.55
cornet_s_pretrained,fork,leaf,Pert,0.9960000000000001,0.55
cornet_s_pretrained,fork,spoon,Pert,0.9970000000000001,0.6
cornet_s_pretrained,fork,tree,Pert,0.998,0.5
cornet_s_pretrained,fork,truck,Pert,0.999,0.6
cornet_s_pretrained,fork,umbrella,Pert,0.998,0.3
cornet_s_pretrained,guitar,airplane,Pert,0.9970000000000001,0.45
cornet_s_pretrained,guitar,apple,Pert,1.0,0.3
cornet_s_pretrained,guitar,bike,Pert,0.998,0.5
cornet_s_pretrained,guitar,chair,Pert,0.999,0.4
cornet_s_pretrained,guitar,flower,Pert,0.998,0.65
cornet_s_pretrained,guitar,fork,Pert,1.0,0.65
cornet_s_pretrained,guitar,key,Pert,0.998,0.5
cornet_s_pretrained,guitar,kite,Pert,0.998,0.65
cornet_s_pretrained,guitar,lamp,Pert,0.9970000000000001,0.45
cornet_s_pretrained,guitar,leaf,Pert,0.9969999999999999,0.3
cornet_s_pretrained,guitar,spoon,Pert,0.998,0.4
cornet_s_pretrained,guitar,tree,Pert,0.998,0.5
cornet_s_pretrained,guitar,truck,Pert,0.9969999999999999,0.6
cornet_s_pretrained,guitar,umbrella,Pert,0.999,0.35
cornet_s_pretrained,key,airplane,Pert,0.9960000000000001,0.5
cornet_s_pretrained,key,apple,Pert,0.9970000000000001,0.2
cornet_s_pretrained,key,bike,Pert,0.9970000000000001,0.35
cornet_s_pretrained,key,chair,Pert,0.999,0.5
cornet_s_pretrained,key,flower,Pert,1.0,0.65
cornet_s_pretrained,key,fork,Pert,0.9970000000000001,0.55
cornet_s_pretrained,key,guitar,Pert,0.998,0.35
cornet_s_pretrained,key,kite,Pert,0.9969999999999999,0.55
cornet_s_pretrained,key,lamp,Pert,0.998,0.45
cornet_s_pretrained,key,leaf,Pert,0.9970000000000001,0.5
cornet_s_pretrained,key,spoon,Pert,0.9950000000000001,0.65
cornet_s_pretrained,key,tree,Pert,0.998,0.55
cornet_s_pretrained,key,truck,Pert,0.9970000000000001,0.5
cornet_s_pretrained,key,umbrella,Pert,1.0,0.45
cornet_s_pretrained,kite,airplane,Pert,0.998,0.35
cornet_s_pretrained,kite,apple,Pert,0.998,0.5
cornet_s_pretrained,kite,bike,Pert,0.9970000000000001,0.6
cornet_s_pretrained,kite,chair,Pert,0.998,0.4
cornet_s_pretrained,kite,flower,Pert,0.998,0.65
cornet_s_pretrained,kite,fork,Pert,1.0,0.45
cornet_s_pretrained,kite,guitar,Pert,0.9960000000000001,0.6
cornet_s_pretrained,kite,key,Pert,0.999,0.7
cornet_s_pretrained,kite,lamp,Pert,0.999,0.7
cornet_s_pretrained,kite,leaf,Pert,0.999,0.45
cornet_s_pretrained,kite,spoon,Pert,0.999,0.5
cornet_s_pretrained,kite,tree,Pert,1.0,0.5
cornet_s_pretrained,kite,truck,Pert,0.999,0.5
cornet_s_pretrained,kite,umbrella,Pert,0.999,0.6
cornet_s_pretrained,lamp,airplane,Pert,0.998,0.4
cornet_s_pretrained,lamp,apple,Pert,0.9970000000000001,0.25
cornet_s_pretrained,lamp,bike,Pert,0.998,0.5
cornet_s_pretrained,lamp,chair,Pert,0.998,0.5
cornet_s_pretrained,lamp,flower,Pert,0.9970000000000001,0.55
cornet_s_pretrained,lamp,fork,Pert,0.9970000000000001,0.5
cornet_s_pretrained,lamp,guitar,Pert,0.999,0.35
cornet_s_pretrained,lamp,key,Pert,0.9959999999999999,0.4
cornet_s_pretrained,lamp,kite,Pert,1.0,0.45
cornet_s_pretrained,lamp,leaf,Pert,0.998,0.5
cornet_s_pretrained,lamp,spoon,Pert,0.999,0.6
cornet_s_pretrained,lamp,tree,Pert,0.999,0.65
cornet_s_pretrained,lamp,truck,Pert,0.998,0.5
cornet_s_pretrained,lamp,umbrella,Pert,0.999,0.5
cornet_s_pretrained,leaf,airplane,Pert,0.993,0.35
cornet_s_pretrained,leaf,apple,Pert,0.993,0.45
cornet_s_pretrained,leaf,bike,Pert,0.991,0.45
cornet_s_pretrained,leaf,chair,Pert,0.998,0.4
cornet_s_pretrained,leaf,flower,Pert,0.9950000000000001,0.7
cornet_s_pretrained,leaf,fork,Pert,0.9970000000000001,0.55
cornet_s_pretrained,leaf,guitar,Pert,0.998,0.45
cornet_s_pretrained,leaf,key,Pert,0.9969999999999999,0.55
cornet_s_pretrained,leaf,kite,Pert,0.999,0.55
cornet_s_pretrained,leaf,lamp,Pert,0.998,0.5
cornet_s_pretrained,leaf,spoon,Pert,1.0,0.25
cornet_s_pretrained,leaf,tree,Pert,0.992,0.5
cornet_s_pretrained,leaf,truck,Pert,0.991,0.5
cornet_s_pretrained,leaf,umbrella,Pert,0.9970000000000001,0.65
cornet_s_pretrained,spoon,airplane,Pert,0.9940000000000001,0.2
cornet_s_pretrained,spoon,apple,Pert,0.9949999999999999,0.45
cornet_s_pretrained,spoon,bike,Pert,0.998,0.45
cornet_s_pretrained,spoon,chair,Pert,0.999,0.5
cornet_s_pretrained,spoon,flower,Pert,0.999,0.5
cornet_s_pretrained,spoon,fork,Pert,0.999,0.35
cornet_s_pretrained,spoon,guitar,Pert,0.9970000000000001,0.45
cornet_s_pretrained,spoon,key,Pert,0.998,0.55
cornet_s_pretrained,spoon,kite,Pert,0.999,0.55
cornet_s_pretrained,spoon,lamp,Pert,1.0,0.3
cornet_s_pretrained,spoon,leaf,Pert,1.0,0.15
cornet_s_pretrained,spoon,tree,Pert,1.0,0.5
cornet_s_pretrained,spoon,truck,Pert,0.998,0.5
cornet_s_pretrained,spoon,umbrella,Pert,0.998,0.6
cornet_s_pretrained,tree,airplane,Pert,0.998,0.55
cornet_s_pretrained,tree,apple,Pert,0.999,0.45
cornet_s_pretrained,tree,bike,Pert,0.999,0.5
cornet_s_pretrained,tree,chair,Pert,0.9960000000000001,0.5
cornet_s_pretrained,tree,flower,Pert,0.999,0.55
cornet_s_pretrained,tree,fork,Pert,1.0,0.6
cornet_s_pretrained,tree,guitar,Pert,0.999,0.5
cornet_s_pretrained,tree,key,Pert,0.998,0.6
cornet_s_pretrained,tree,kite,Pert,0.9970000000000001,0.6
cornet_s_pretrained,tree,lamp,Pert,0.999,0.55
cornet_s_pretrained,tree,leaf,Pert,0.994,0.4
cornet_s_pretrained,tree,spoon,Pert,0.999,0.5
cornet_s_pretrained,tree,truck,Pert,0.999,0.5
cornet_s_pretrained,tree,umbrella,Pert,1.0,0.55
cornet_s_pretrained,truck,airplane,Pert,1.0,0.8
cornet_s_pretrained,truck,apple,Pert,0.998,0.5
cornet_s_pretrained,truck,bike,Pert,0.999,0.7
cornet_s_pretrained,truck,chair,Pert,0.998,0.5
cornet_s_pretrained,truck,flower,Pert,0.9950000000000001,0.5
cornet_s_pretrained,truck,fork,Pert,0.999,0.55
cornet_s_pretrained,truck,guitar,Pert,0.9960000000000001,0.55
cornet_s_pretrained,truck,key,Pert,0.998,0.5
cornet_s_pretrained,truck,kite,Pert,0.9970000000000001,0.5
cornet_s_pretrained,truck,lamp,Pert,0.9970000000000001,0.5
cornet_s_pretrained,truck,leaf,Pert,0.993,0.5
cornet_s_pretrained,truck,spoon,Pert,0.998,0.5
cornet_s_pretrained,truck,tree,Pert,0.999,0.45
cornet_s_pretrained,truck,umbrella,Pert,0.998,0.5
cornet_s_pretrained,umbrella,airplane,Pert,0.9960000000000001,0.45
cornet_s_pretrained,umbrella,apple,Pert,0.998,0.2
cornet_s_pretrained,umbrella,bike,Pert,0.998,0.45
cornet_s_pretrained,umbrella,chair,Pert,0.998,0.45
cornet_s_pretrained,umbrella,flower,Pert,0.999,0.6
cornet_s_pretrained,umbrella,fork,Pert,0.999,0.4
cornet_s_pretrained,umbrella,guitar,Pert,0.999,0.45
