model,obj1,obj2,condition,train_acc,acc
cornets,airplane,apple,IC,1.0,0.5
cornets,airplane,bike,IC,0.9714285714285714,0.5
cornets,airplane,chair,IC,1.0,0.5
cornets,airplane,flower,IC,1.0,0.5
cornets,airplane,fork,IC,1.0,0.5
cornets,airplane,guitar,IC,1.0,0.5
cornets,airplane,key,IC,1.0,0.5
cornets,airplane,kite,IC,0.9615384615384616,0.5
cornets,airplane,lamp,IC,1.0,0.5
cornets,airplane,leaf,IC,1.0,0.5
cornets,airplane,spoon,IC,1.0,0.5
cornets,airplane,tree,IC,1.0,0.5
cornets,airplane,truck,IC,1.0,0.5
cornets,airplane,umbrella,IC,1.0,0.5
cornets,apple,airplane,IC,1.0,0.5
cornets,apple,bike,IC,0.9142857142857143,0.5
cornets,apple,chair,IC,1.0,0.5
cornets,apple,flower,IC,0.8387096774193549,0.5
cornets,apple,fork,IC,1.0,0.0
cornets,apple,guitar,IC,1.0,0.5
cornets,apple,key,IC,0.8709677419354839,0.5
cornets,apple,kite,IC,1.0,0.5
cornets,apple,lamp,IC,1.0,0.5
cornets,apple,leaf,IC,1.0,0.5
cornets,apple,spoon,IC,1.0,0.5
cornets,apple,tree,IC,1.0,0.5
cornets,apple,truck,IC,1.0,0.5
cornets,apple,umbrella,IC,0.9642857142857143,0.5
cornets,bike,airplane,IC,0.9428571428571428,0.5
cornets,bike,apple,IC,0.9142857142857143,0.5
cornets,bike,chair,IC,0.8,0.5
cornets,bike,flower,IC,0.9761904761904762,0.5
cornets,bike,fork,IC,0.8857142857142857,0.5
cornets,bike,guitar,IC,0.975,0.5
cornets,bike,key,IC,1.0,0.5
cornets,bike,kite,IC,0.972972972972973,0.5
cornets,bike,lamp,IC,0.8888888888888888,0.5
cornets,bike,leaf,IC,0.9459459459459459,0.5
cornets,bike,spoon,IC,0.8888888888888888,0.5
cornets,bike,tree,IC,0.7142857142857143,0.5
cornets,bike,truck,IC,0.6857142857142857,0.5
cornets,bike,umbrella,IC,0.9230769230769231,0.5
cornets,chair,airplane,IC,1.0,0.5
cornets,chair,apple,IC,1.0,0.5
cornets,chair,bike,IC,0.8,0.5
cornets,chair,flower,IC,0.8709677419354839,0.5
cornets,chair,fork,IC,1.0,0.5
cornets,chair,guitar,IC,0.9310344827586207,0.5
cornets,chair,key,IC,0.8709677419354839,0.5
cornets,chair,kite,IC,1.0,0.5
cornets,chair,lamp,IC,1.0,0.5
cornets,chair,leaf,IC,1.0,0.5
cornets,chair,spoon,IC,1.0,0.5
cornets,chair,tree,IC,1.0,1.0
cornets,chair,truck,IC,1.0,0.5
cornets,chair,umbrella,IC,0.9642857142857143,0.5
cornets,flower,airplane,IC,1.0,0.5
cornets,flower,apple,IC,0.8387096774193549,0.5
cornets,flower,bike,IC,0.9761904761904762,0.5
cornets,flower,chair,IC,0.8709677419354839,0.5
cornets,flower,fork,IC,0.8709677419354839,0.5
cornets,flower,guitar,IC,1.0,0.5
cornets,flower,key,IC,1.0,0.5
cornets,flower,kite,IC,0.9696969696969697,0.5
cornets,flower,lamp,IC,0.96875,0.5
cornets,flower,leaf,IC,0.9393939393939394,0.5
cornets,flower,spoon,IC,0.9375,0.5
cornets,flower,tree,IC,0.9354838709677419,0.5
cornets,flower,truck,IC,1.0,0.5
cornets,flower,umbrella,IC,1.0,0.5
cornets,fork,airplane,IC,1.0,0.5
cornets,fork,apple,IC,1.0,0.0
cornets,fork,bike,IC,0.8857142857142857,0.5
cornets,fork,chair,IC,1.0,0.5
cornets,fork,flower,IC,0.8709677419354839,0.5
cornets,fork,guitar,IC,1.0,0.5
cornets,fork,key,IC,0.8709677419354839,0.5
cornets,fork,kite,IC,1.0,0.5
cornets,fork,lamp,IC,1.0,0.5
cornets,fork,leaf,IC,1.0,0.5
cornets,fork,spoon,IC,1.0,0.5
cornets,fork,tree,IC,1.0,1.0
cornets,fork,truck,IC,1.0,0.5
cornets,fork,umbrella,IC,1.0,0.5
cornets,guitar,airplane,IC,1.0,0.5
cornets,guitar,apple,IC,1.0,0.5
cornets,guitar,bike,IC,0.975,0.5
cornets,guitar,chair,IC,0.9310344827586207,0.5
cornets,guitar,flower,IC,1.0,0.5
cornets,guitar,fork,IC,1.0,0.5
cornets,guitar,key,IC,1.0,0.5
cornets,guitar,kite,IC,0.967741935483871,0.5
cornets,guitar,lamp,IC,0.9666666666666667,0.5
cornets,guitar,leaf,IC,0.9354838709677419,0.5
cornets,guitar,spoon,IC,0.9666666666666667,0.5
cornets,guitar,tree,IC,1.0,0.5
cornets,guitar,truck,IC,1.0,0.5
cornets,guitar,umbrella,IC,1.0,0.5
cornets,key,airplane,IC,1.0,0.5
cornets,key,apple,IC,0.8709677419354839,0.5
cornets,key,bike,IC,1.0,0.5
cornets,key,chair,IC,0.8709677419354839,0.5
cornets,key,flower,IC,1.0,0.5
cornets,key,fork,IC,0.8709677419354839,0.5
cornets,key,guitar,IC,1.0,0.5
cornets,key,kite,IC,0.9696969696969697,0.5
cornets,key,lamp,IC,0.96875,0.5
cornets,key,leaf,IC,0.9393939393939394,0.5
cornets,key,spoon,IC,0.9375,0.5
cornets,key,tree,IC,0.8387096774193549,0.5
cornets,key,truck,IC,0.967741935483871,0.5
cornets,key,umbrella,IC,1.0,0.5
cornets,kite,airplane,IC,0.9615384615384616,0.5
cornets,kite,apple,IC,1.0,0.5
cornets,kite,bike,IC,0.972972972972973,0.5
cornets,kite,chair,IC,1.0,0.5
cornets,kite,flower,IC,0.9696969696969697,0.5
cornets,kite,fork,IC,1.0,0.5
cornets,kite,guitar,IC,0.967741935483871,0.5
cornets,kite,key,IC,0.9696969696969697,0.5
cornets,kite,lamp,IC,0.9629629629629629,0.5
cornets,kite,leaf,IC,0.9642857142857143,0.5
cornets,kite,spoon,IC,0.9259259259259259,0.5
cornets,kite,tree,IC,1.0,0.5
cornets,kite,truck,IC,1.0,0.5
cornets,kite,umbrella,IC,0.9666666666666667,0.5
cornets,lamp,airplane,IC,1.0,0.5
cornets,lamp,apple,IC,1.0,0.5
cornets,lamp,bike,IC,0.8888888888888888,0.5
cornets,lamp,chair,IC,1.0,0.5
cornets,lamp,flower,IC,0.96875,0.5
cornets,lamp,fork,IC,1.0,0.5
cornets,lamp,guitar,IC,0.9666666666666667,0.5
cornets,lamp,key,IC,0.96875,0.5
cornets,lamp,kite,IC,0.9629629629629629,0.5
cornets,lamp,leaf,IC,0.9629629629629629,0.5
cornets,lamp,spoon,IC,0.9615384615384616,0.5
cornets,lamp,tree,IC,1.0,0.5
cornets,lamp,truck,IC,1.0,0.5
cornets,lamp,umbrella,IC,0.9655172413793104,0.5
cornets,leaf,airplane,IC,1.0,0.5
cornets,leaf,apple,IC,1.0,0.5
cornets,leaf,bike,IC,0.9459459459459459,0.5
cornets,leaf,chair,IC,1.0,0.5
cornets,leaf,flower,IC,0.9393939393939394,0.5
cornets,leaf,fork,IC,1.0,0.5
cornets,leaf,guitar,IC,0.9354838709677419,0.5
cornets,leaf,key,IC,0.9393939393939394,0.5
cornets,leaf,kite,IC,0.9642857142857143,0.5
cornets,leaf,lamp,IC,0.9629629629629629,0.5
cornets,leaf,spoon,IC,0.9629629629629629,0.5
cornets,leaf,tree,IC,1.0,0.5
cornets,leaf,truck,IC,1.0,0.5
cornets,leaf,umbrella,IC,0.9333333333333333,0.5
cornets,spoon,airplane,IC,1.0,0.5
cornets,spoon,apple,IC,1.0,0.5
cornets,spoon,bike,IC,0.8888888888888888,0.5
cornets,spoon,chair,IC,1.0,0.5
cornets,spoon,flower,IC,0.9375,0.5
cornets,spoon,fork,IC,1.0,0.5
cornets,spoon,guitar,IC,0.9666666666666667,0.5
cornets,spoon,key,IC,0.9375,0.5
cornets,spoon,kite,IC,0.9259259259259259,0.5
cornets,spoon,lamp,IC,0.9615384615384616,0.5
cornets,spoon,leaf,IC,0.9629629629629629,0.5
cornets,spoon,tree,IC,1.0,0.5
cornets,spoon,truck,IC,0.96,0.5
cornets,spoon,umbrella,IC,0.9655172413793104,0.5
cornets,tree,airplane,IC,1.0,0.5
cornets,tree,apple,IC,1.0,0.5
cornets,tree,bike,IC,0.7142857142857143,0.5
cornets,tree,chair,IC,1.0,1.0
cornets,tree,flower,IC,0.9354838709677419,0.5
cornets,tree,fork,IC,1.0,1.0
cornets,tree,guitar,IC,1.0,0.5
cornets,tree,key,IC,0.8387096774193549,0.5
cornets,tree,kite,IC,1.0,0.5
cornets,tree,lamp,IC,1.0,0.5
cornets,tree,leaf,IC,1.0,0.5
cornets,tree,spoon,IC,1.0,0.5
cornets,tree,truck,IC,1.0,0.5
cornets,tree,umbrella,IC,1.0,0.5
cornets,truck,airplane,IC,1.0,0.5
cornets,truck,apple,IC,1.0,0.5
cornets,truck,bike,IC,0.6857142857142857,0.5
cornets,truck,chair,IC,1.0,0.5
cornets,truck,flower,IC,1.0,0.5
cornets,truck,fork,IC,1.0,0.5
cornets,truck,guitar,IC,1.0,0.5
cornets,truck,key,IC,0.967741935483871,0.5
cornets,truck,kite,IC,1.0,0.5
cornets,truck,lamp,IC,1.0,0.5
cornets,truck,leaf,IC,1.0,0.5
cornets,truck,spoon,IC,0.96,0.5
cornets,truck,tree,IC,1.0,0.5
cornets,truck,umbrella,IC,1.0,0.5
cornets,umbrella,airplane,IC,1.0,0.5
cornets,umbrella,apple,IC,0.9642857142857143,0.5
cornets,umbrella,bike,IC,0.9230769230769231,0.5
cornets,umbrella,chair,IC,0.9642857142857143,0.5
cornets,umbrella,flower,IC,1.0,0.5
cornets,umbrella,fork,IC,1.0,0.5
cornets,umbrella,guitar,IC,1.0,0.5
cornets,umbrella,key,IC,1.0,0.5
cornets,umbrella,kite,IC,0.9666666666666667,0.5
cornets,umbrella,lamp,IC,0.9655172413793104,0.5
cornets,umbrella,leaf,IC,0.9333333333333333,0.5
cornets,umbrella,spoon,IC,0.9655172413793104,0.5
cornets,umbrella,tree,IC,1.0,0.5
cornets,umbrella,truck,IC,1.0,0.5
cornets,bear,bird,IC,1.0,0.5
cornets,bear,butterfly,IC,1.0,0.5
cornets,bear,cat,IC,0.8787878787878788,0.5
cornets,bear,cow,IC,0.918918918918919,0.5
cornets,bear,dog,IC,0.9090909090909091,0.5
cornets,bear,duck,IC,0.9705882352941176,0.5
cornets,bear,elephant,IC,0.7878787878787878,0.5
cornets,bear,fish,IC,0.9705882352941176,0.5
cornets,bear,foot,IC,0.9428571428571428,0.5
cornets,bear,frog,IC,0.9166666666666666,0.5
cornets,bear,hand,IC,0.9142857142857143,0.5
cornets,bear,rabbit,IC,0.8857142857142857,0.5
cornets,bear,squirrel,IC,0.9142857142857143,0.5
cornets,bear,turtle,IC,1.0,0.5
cornets,bird,bear,IC,1.0,0.5
cornets,bird,butterfly,IC,1.0,0.5
cornets,bird,cat,IC,0.7428571428571429,0.5
cornets,bird,cow,IC,0.9487179487179487,0.5
cornets,bird,dog,IC,0.7428571428571429,0.5
cornets,bird,duck,IC,0.8055555555555556,0.5
cornets,bird,elephant,IC,0.6571428571428571,0.5
cornets,bird,fish,IC,0.9166666666666666,0.5
cornets,bird,foot,IC,0.918918918918919,0.5
cornets,bird,frog,IC,0.9736842105263158,0.5
cornets,bird,hand,IC,0.918918918918919,0.5
cornets,bird,rabbit,IC,0.9459459459459459,0.5
cornets,bird,squirrel,IC,0.972972972972973,0.5
cornets,bird,turtle,IC,0.975609756097561,0.5
cornets,butterfly,bear,IC,1.0,0.5
cornets,butterfly,bird,IC,1.0,0.5
cornets,butterfly,cat,IC,0.9642857142857143,0.5
cornets,butterfly,cow,IC,1.0,1.0
cornets,butterfly,dog,IC,1.0,0.5
cornets,butterfly,duck,IC,0.9655172413793104,0.5
cornets,butterfly,elephant,IC,1.0,0.5
cornets,butterfly,fish,IC,0.9655172413793104,0.5
cornets,butterfly,foot,IC,0.9333333333333333,0.5
cornets,butterfly,frog,IC,1.0,0.5
cornets,butterfly,hand,IC,0.9666666666666667,0.5
cornets,butterfly,rabbit,IC,0.9333333333333333,0.5
cornets,butterfly,squirrel,IC,1.0,0.5
cornets,butterfly,turtle,IC,1.0,0.5
cornets,cat,bear,IC,0.8787878787878788,0.5
cornets,cat,bird,IC,0.7428571428571429,0.5
cornets,cat,butterfly,IC,0.9642857142857143,0.5
cornets,cat,cow,IC,0.9642857142857143,0.5
cornets,cat,dog,IC,1.0,0.5
cornets,cat,duck,IC,1.0,0.5
cornets,cat,elephant,IC,1.0,0.5
cornets,cat,fish,IC,1.0,0.5
cornets,cat,foot,IC,1.0,0.5
