model,cond,acc,ci_low,ci_high
vonenet_r_ecoset,complete,0.5715873015873011,0.560662259510107,0.5825123436644952
vonenet_r_stylized-ecoset,complete,0.5487301587301584,0.5362782821375089,0.5611820353228079
vonenet_ff_ecoset,complete,0.5499206349206343,0.5369716309628987,0.5628696388783698
vonenet_ff_stylized-ecoset,complete,0.5569047619047621,0.5441711042486832,0.569638419560841
ShapeNet,complete,0.5865079365079356,0.5751985280536822,0.5978173449621891
SayCam,complete,0.5453968253968249,0.5342605323204324,0.5565331184732174
convnext,complete,0.5892857142857142,0.5747194630863369,0.6038519654850915
3yrold_fast,complete,0.7160172140838612,0.6295958055320559,0.8024386226356666
3yrold_slow,complete,0.8391865079365081,0.7718470685402354,0.9065259473327807
4yrold_fast,complete,0.7288213305038549,0.6132649965665019,0.8443776644412079
4yrold_slow,complete,0.8607349934810045,0.7628389741193583,0.9586310128426506
5yrold_fast,complete,0.8347947214924779,0.7655451634413523,0.9040442795436036
5yrold_slow,complete,0.9337535014005602,0.8892507556744522,0.9782562471266683
vonenet_r_ecoset,perturbed,0.5631746031746028,0.5518029552302437,0.5745462511189618
vonenet_r_stylized-ecoset,perturbed,0.5482539682539677,0.538778243680201,0.5577296928277343
vonenet_ff_ecoset,perturbed,0.5437301587301586,0.5322854251126408,0.5551748923476765
vonenet_ff_stylized-ecoset,perturbed,0.5555555555555551,0.5428578021537213,0.568253308957389
ShapeNet,perturbed,0.5880952380952367,0.5759549956872619,0.6002354805032114
SayCam,perturbed,0.5496825396825393,0.5383113488104367,0.5610537305546419
convnext,perturbed,0.5518253968253963,0.5412927161164875,0.5623580775343051
3yrold_fast,perturbed,0.5824492881139485,0.44921464255365184,0.7156839336742451
3yrold_slow,perturbed,0.7385737205193028,0.6017226441720855,0.8754247968665201
4yrold_fast,perturbed,0.7955191407856849,0.7317770040265481,0.8592612775448216
4yrold_slow,perturbed,0.8922123015873016,0.8447929463130085,0.9396316568615947
5yrold_fast,perturbed,0.8346591705171169,0.7514955687818503,0.9178227722523835
5yrold_slow,perturbed,0.8964210806342902,0.8429940947570783,0.949848066511502
vonenet_r_ecoset,deleted,0.5515873015873007,0.541263597694023,0.5619110054805785
vonenet_r_stylized-ecoset,deleted,0.5540476190476186,0.5431426216812987,0.5649526164139385
vonenet_ff_ecoset,deleted,0.5327777777777775,0.5216154952396954,0.5439400603158595
vonenet_ff_stylized-ecoset,deleted,0.551825396825396,0.538886940258704,0.564763853392088
ShapeNet,deleted,0.5632539682539668,0.5529908825658744,0.5735170539420592
SayCam,deleted,0.5239682539682542,0.5135803739389042,0.5343561339976042
convnext,deleted,0.5593650793650794,0.5465281526806033,0.5722020060495555
3yrold_fast,deleted,0.5129781478420671,0.40164767640655463,0.6243086192775795
3yrold_slow,deleted,0.5497395842735112,0.4557723068380415,0.643706861708981
4yrold_fast,deleted,0.7170938397055819,0.6592956585783595,0.7748920208328044
4yrold_slow,deleted,0.8256392045454546,0.7619235162638257,0.8893548928270835
5yrold_fast,deleted,0.6693530201189422,0.5650200434039219,0.7736859968339624
5yrold_slow,deleted,0.7807936129863376,0.6890545821428132,0.8725326438298621
