model,obj1,obj2,condition,train_acc,acc
alexnet,airplane,apple,IC,1.0,0.6666666666666666
alexnet,airplane,bike,IC,1.0,0.7333333333333333
alexnet,airplane,chair,IC,1.0,0.9333333333333333
alexnet,airplane,flower,IC,1.0,0.9333333333333333
alexnet,airplane,fork,IC,1.0,0.5
alexnet,airplane,guitar,IC,1.0,0.9333333333333333
alexnet,airplane,key,IC,1.0,0.6
alexnet,airplane,kite,IC,1.0,0.6333333333333333
alexnet,airplane,lamp,IC,1.0,0.7
alexnet,airplane,leaf,IC,1.0,0.8333333333333334
alexnet,airplane,spoon,IC,1.0,0.5
alexnet,airplane,tree,IC,1.0,0.9333333333333333
alexnet,airplane,truck,IC,1.0,0.5
alexnet,airplane,umbrella,IC,1.0,0.8333333333333334
alexnet,apple,airplane,IC,1.0,0.6666666666666666
alexnet,apple,bike,IC,1.0,0.6666666666666666
alexnet,apple,chair,IC,1.0,0.5666666666666667
alexnet,apple,flower,IC,1.0,0.6
alexnet,apple,fork,IC,1.0,0.5
alexnet,apple,guitar,IC,1.0,0.5666666666666667
alexnet,apple,key,IC,1.0,0.5
alexnet,apple,kite,IC,1.0,0.5333333333333333
alexnet,apple,lamp,IC,1.0,0.5
alexnet,apple,leaf,IC,1.0,0.7
alexnet,apple,spoon,IC,1.0,0.5
alexnet,apple,tree,IC,1.0,0.6
alexnet,apple,truck,IC,1.0,0.8333333333333334
alexnet,apple,umbrella,IC,1.0,0.5333333333333333
alexnet,bike,airplane,IC,1.0,0.6666666666666666
alexnet,bike,apple,IC,1.0,0.7333333333333333
alexnet,bike,chair,IC,1.0,0.8333333333333334
alexnet,bike,flower,IC,1.0,0.8333333333333334
alexnet,bike,fork,IC,1.0,0.5
alexnet,bike,guitar,IC,1.0,0.6
alexnet,bike,key,IC,1.0,0.5333333333333333
alexnet,bike,kite,IC,1.0,0.6333333333333333
alexnet,bike,lamp,IC,1.0,0.6666666666666666
alexnet,bike,leaf,IC,1.0,0.9666666666666667
alexnet,bike,spoon,IC,1.0,0.5
alexnet,bike,tree,IC,1.0,0.9
alexnet,bike,truck,IC,1.0,0.7
alexnet,bike,umbrella,IC,1.0,0.7666666666666667
alexnet,chair,airplane,IC,1.0,1.0
alexnet,chair,apple,IC,1.0,0.6666666666666666
alexnet,chair,bike,IC,1.0,0.8333333333333334
alexnet,chair,flower,IC,1.0,0.7666666666666667
alexnet,chair,fork,IC,1.0,0.5
alexnet,chair,guitar,IC,1.0,0.5333333333333333
alexnet,chair,key,IC,1.0,0.5
alexnet,chair,kite,IC,1.0,0.8666666666666667
alexnet,chair,lamp,IC,1.0,0.5
alexnet,chair,leaf,IC,1.0,0.8666666666666667
alexnet,chair,spoon,IC,1.0,0.5
alexnet,chair,tree,IC,1.0,0.9333333333333333
alexnet,chair,truck,IC,1.0,0.5
alexnet,chair,umbrella,IC,1.0,0.7333333333333333
alexnet,flower,airplane,IC,1.0,0.9
alexnet,flower,apple,IC,1.0,0.5666666666666667
alexnet,flower,bike,IC,1.0,0.8
alexnet,flower,chair,IC,1.0,0.6333333333333333
alexnet,flower,fork,IC,1.0,0.5
alexnet,flower,guitar,IC,1.0,0.8
alexnet,flower,key,IC,1.0,0.5
