model,obj1,obj2,condition,train_acc,acc
alexnet,airplane,apple,Outline,1.0,0.9
alexnet,airplane,bike,Outline,1.0,0.7
alexnet,airplane,chair,Outline,1.0,0.7
alexnet,airplane,flower,Outline,1.0,0.8666666666666667
alexnet,airplane,fork,Outline,1.0,0.5
alexnet,airplane,guitar,Outline,1.0,0.5666666666666667
alexnet,airplane,key,Outline,1.0,0.5
alexnet,airplane,kite,Outline,1.0,0.5666666666666667
alexnet,airplane,lamp,Outline,1.0,0.7
alexnet,airplane,leaf,Outline,1.0,0.7666666666666667
alexnet,airplane,spoon,Outline,1.0,0.5
alexnet,airplane,tree,Outline,1.0,0.7666666666666667
alexnet,airplane,truck,Outline,1.0,0.5
alexnet,airplane,umbrella,Outline,1.0,0.6333333333333333
alexnet,apple,airplane,Outline,1.0,0.8333333333333334
alexnet,apple,bike,Outline,1.0,0.6
alexnet,apple,chair,Outline,1.0,0.6
alexnet,apple,flower,Outline,1.0,0.6
alexnet,apple,fork,Outline,1.0,0.5
alexnet,apple,guitar,Outline,1.0,0.5333333333333333
alexnet,apple,key,Outline,1.0,0.5
alexnet,apple,kite,Outline,1.0,0.5333333333333333
alexnet,apple,lamp,Outline,1.0,0.5333333333333333
alexnet,apple,leaf,Outline,1.0,0.5
alexnet,apple,spoon,Outline,1.0,0.5
alexnet,apple,tree,Outline,1.0,0.5
alexnet,apple,truck,Outline,1.0,0.9
alexnet,apple,umbrella,Outline,1.0,0.5
alexnet,bike,airplane,Outline,1.0,0.7666666666666667
alexnet,bike,apple,Outline,1.0,0.5333333333333333
alexnet,bike,chair,Outline,1.0,0.7333333333333333
alexnet,bike,flower,Outline,1.0,0.9
alexnet,bike,fork,Outline,1.0,0.5
alexnet,bike,guitar,Outline,1.0,0.5666666666666667
alexnet,bike,key,Outline,1.0,0.5
alexnet,bike,kite,Outline,1.0,1.0
alexnet,bike,lamp,Outline,1.0,0.6
alexnet,bike,leaf,Outline,1.0,0.8333333333333334
alexnet,bike,spoon,Outline,1.0,0.5
alexnet,bike,tree,Outline,1.0,0.7
alexnet,bike,truck,Outline,1.0,0.6333333333333333
alexnet,bike,umbrella,Outline,1.0,0.7333333333333333
alexnet,chair,airplane,Outline,1.0,0.7333333333333333
alexnet,chair,apple,Outline,1.0,0.5
alexnet,chair,bike,Outline,1.0,0.8333333333333334
alexnet,chair,flower,Outline,1.0,0.9333333333333333
alexnet,chair,fork,Outline,1.0,0.5
alexnet,chair,guitar,Outline,1.0,0.8333333333333334
alexnet,chair,key,Outline,1.0,0.5
alexnet,chair,kite,Outline,1.0,0.9333333333333333
