model,classifier,condition,acc
vit,NB,IC,0.5926666666666667
vit,NB,IC,0.5896666666666667
vit,NB,IC,0.591
vit,NB,IC,0.5993333333333334
vit,NB,IC,0.586
vit,NB,IC,0.589
vit,NB,IC,0.5793333333333334
vit,NB,IC,0.6013333333333334
vit,NB,IC,0.5693333333333334
vit,NB,IC,0.5876666666666667
vit,NB,IC,0.5936666666666667
vit,NB,IC,0.605
vit,NB,IC,0.5863333333333334
vit,NB,IC,0.594
vit,NB,IC,0.5956666666666667
vit,NB,IC,0.598
vit,NB,IC,0.5903333333333334
vit,NB,IC,0.5903333333333334
vit,NB,IC,0.593
vit,NB,IC,0.5943333333333334
vit,KNN,IC,0.597
vit,KNN,IC,0.601
vit,KNN,IC,0.5983333333333334
vit,KNN,IC,0.6116666666666667
vit,KNN,IC,0.5883333333333334
vit,KNN,IC,0.599
vit,KNN,IC,0.5923333333333334
vit,KNN,IC,0.6156666666666667
vit,KNN,IC,0.5813333333333334
vit,KNN,IC,0.585
vit,KNN,IC,0.5993333333333334
vit,KNN,IC,0.5956666666666667
vit,KNN,IC,0.5806666666666667
vit,KNN,IC,0.6013333333333334
vit,KNN,IC,0.598
vit,KNN,IC,0.612
vit,KNN,IC,0.599
vit,KNN,IC,0.5963333333333334
vit,KNN,IC,0.593
vit,KNN,IC,0.595
vit,logistic,IC,0.7016666666666667
vit,logistic,IC,0.6983333333333334
vit,logistic,IC,0.6993333333333334
vit,logistic,IC,0.702
vit,logistic,IC,0.691
vit,logistic,IC,0.694
vit,logistic,IC,0.7113333333333334
vit,logistic,IC,0.7073333333333334
vit,logistic,IC,0.6866666666666666
vit,logistic,IC,0.697
vit,logistic,IC,0.7003333333333334
vit,logistic,IC,0.7056666666666667
vit,logistic,IC,0.7036666666666667
vit,logistic,IC,0.7083333333333334
vit,logistic,IC,0.706
vit,logistic,IC,0.7146666666666667
vit,logistic,IC,0.6926666666666667
vit,logistic,IC,0.695
vit,logistic,IC,0.7033333333333334
vit,logistic,IC,0.699
vit,NC,IC,0.592
vit,NC,IC,0.5776666666666667
vit,NC,IC,0.584
vit,NC,IC,0.5873333333333334
vit,NC,IC,0.5806666666666667
vit,NC,IC,0.5846666666666667
vit,NC,IC,0.581
vit,NC,IC,0.5983333333333334
vit,NC,IC,0.5623333333333334
vit,NC,IC,0.5776666666666667
vit,NC,IC,0.5836666666666667
vit,NC,IC,0.5973333333333334
vit,NC,IC,0.5786666666666667
vit,NC,IC,0.5826666666666667
vit,NC,IC,0.5866666666666667
vit,NC,IC,0.5873333333333334
vit,NC,IC,0.5816666666666667
vit,NC,IC,0.582
vit,NC,IC,0.583
vit,NC,IC,0.582
vit,SVM,IC,0.7143333333333334
vit,SVM,IC,0.7166666666666667
vit,SVM,IC,0.7093333333333334
vit,SVM,IC,0.7146666666666667
vit,SVM,IC,0.703
vit,SVM,IC,0.714
vit,SVM,IC,0.703
vit,SVM,IC,0.722
vit,SVM,IC,0.6953333333333334
vit,SVM,IC,0.705
vit,SVM,IC,0.7173333333333334
vit,SVM,IC,0.7246666666666667
vit,SVM,IC,0.7086666666666667
vit,SVM,IC,0.721
vit,SVM,IC,0.7136666666666667
vit,SVM,IC,0.7226666666666667
vit,SVM,IC,0.717
vit,SVM,IC,0.7113333333333334
vit,SVM,IC,0.7043333333333334
vit,SVM,IC,0.7066666666666667
vit,Ridge,IC,0.7283333333333334
vit,Ridge,IC,0.7193333333333334
vit,Ridge,IC,0.728
vit,Ridge,IC,0.7283333333333334
vit,Ridge,IC,0.713
vit,Ridge,IC,0.7256666666666667
vit,Ridge,IC,0.714
vit,Ridge,IC,0.7276666666666667
vit,Ridge,IC,0.7073333333333334
vit,Ridge,IC,0.7183333333333334
vit,Ridge,IC,0.7233333333333334
vit,Ridge,IC,0.7283333333333334
vit,Ridge,IC,0.7216666666666667
vit,Ridge,IC,0.7316666666666667
vit,Ridge,IC,0.7216666666666667
vit,Ridge,IC,0.7373333333333333
vit,Ridge,IC,0.7236666666666667
vit,Ridge,IC,0.722
vit,Ridge,IC,0.713
vit,Ridge,IC,0.7253333333333334
