model,classifier,condition,acc
vonenet_r_ecoset,NB,IC,0.10833333333333334
vonenet_r_ecoset,NB,IC,0.10166666666666667
vonenet_r_ecoset,NB,IC,0.104
vonenet_r_ecoset,NB,IC,0.109
vonenet_r_ecoset,NB,IC,0.09633333333333334
vonenet_r_ecoset,NB,IC,0.10633333333333334
vonenet_r_ecoset,NB,IC,0.10266666666666667
vonenet_r_ecoset,NB,IC,0.10133333333333333
vonenet_r_ecoset,NB,IC,0.098
vonenet_r_ecoset,NB,IC,0.10566666666666667
vonenet_r_ecoset,NB,IC,0.10633333333333334
vonenet_r_ecoset,NB,IC,0.10233333333333333
vonenet_r_ecoset,NB,IC,0.10166666666666667
vonenet_r_ecoset,NB,IC,0.098
vonenet_r_ecoset,NB,IC,0.105
vonenet_r_ecoset,NB,IC,0.09966666666666667
vonenet_r_ecoset,NB,IC,0.114
vonenet_r_ecoset,NB,IC,0.10133333333333333
vonenet_r_ecoset,NB,IC,0.09233333333333334
vonenet_r_ecoset,NB,IC,0.115
vonenet_r_ecoset,KNN,IC,0.205
vonenet_r_ecoset,KNN,IC,0.19566666666666666
vonenet_r_ecoset,KNN,IC,0.20833333333333334
vonenet_r_ecoset,KNN,IC,0.19933333333333333
vonenet_r_ecoset,KNN,IC,0.191
vonenet_r_ecoset,KNN,IC,0.19033333333333333
vonenet_r_ecoset,KNN,IC,0.18533333333333332
vonenet_r_ecoset,KNN,IC,0.18866666666666668
vonenet_r_ecoset,KNN,IC,0.19433333333333333
vonenet_r_ecoset,KNN,IC,0.19566666666666666
vonenet_r_ecoset,KNN,IC,0.20833333333333334
vonenet_r_ecoset,KNN,IC,0.20366666666666666
vonenet_r_ecoset,KNN,IC,0.19533333333333333
vonenet_r_ecoset,KNN,IC,0.19566666666666666
vonenet_r_ecoset,KNN,IC,0.20033333333333334
vonenet_r_ecoset,KNN,IC,0.20133333333333334
vonenet_r_ecoset,KNN,IC,0.20166666666666666
vonenet_r_ecoset,KNN,IC,0.185
vonenet_r_ecoset,KNN,IC,0.19633333333333333
vonenet_r_ecoset,KNN,IC,0.18833333333333332
vonenet_r_ecoset,logistic,IC,0.016
vonenet_r_ecoset,logistic,IC,0.015666666666666666
vonenet_r_ecoset,logistic,IC,0.017
vonenet_r_ecoset,logistic,IC,0.017
vonenet_r_ecoset,logistic,IC,0.02
vonenet_r_ecoset,logistic,IC,0.01633333333333333
vonenet_r_ecoset,logistic,IC,0.017666666666666667
vonenet_r_ecoset,logistic,IC,0.014666666666666666
vonenet_r_ecoset,logistic,IC,0.016
vonenet_r_ecoset,logistic,IC,0.017333333333333333
vonenet_r_ecoset,logistic,IC,0.018333333333333333
vonenet_r_ecoset,logistic,IC,0.020666666666666667
vonenet_r_ecoset,logistic,IC,0.01633333333333333
vonenet_r_ecoset,logistic,IC,0.018333333333333333
vonenet_r_ecoset,logistic,IC,0.016
vonenet_r_ecoset,logistic,IC,0.01633333333333333
vonenet_r_ecoset,logistic,IC,0.017
vonenet_r_ecoset,logistic,IC,0.016666666666666666
vonenet_r_ecoset,logistic,IC,0.017
vonenet_r_ecoset,logistic,IC,0.018333333333333333
vonenet_r_ecoset,NC,IC,0.034
vonenet_r_ecoset,NC,IC,0.025
vonenet_r_ecoset,NC,IC,0.026333333333333334
vonenet_r_ecoset,NC,IC,0.031
vonenet_r_ecoset,NC,IC,0.03
vonenet_r_ecoset,NC,IC,0.03233333333333333
vonenet_r_ecoset,NC,IC,0.033666666666666664
vonenet_r_ecoset,NC,IC,0.031
vonenet_r_ecoset,NC,IC,0.028
vonenet_r_ecoset,NC,IC,0.034333333333333334
vonenet_r_ecoset,NC,IC,0.026333333333333334
vonenet_r_ecoset,NC,IC,0.025333333333333333
vonenet_r_ecoset,NC,IC,0.027666666666666666
vonenet_r_ecoset,NC,IC,0.030666666666666665
vonenet_r_ecoset,NC,IC,0.03166666666666667
vonenet_r_ecoset,NC,IC,0.027
vonenet_r_ecoset,NC,IC,0.03133333333333333
vonenet_r_ecoset,NC,IC,0.030666666666666665
vonenet_r_ecoset,NC,IC,0.022333333333333334
vonenet_r_ecoset,NC,IC,0.034
vonenet_r_ecoset,SVM,IC,0.208
vonenet_r_ecoset,SVM,IC,0.20366666666666666
vonenet_r_ecoset,SVM,IC,0.217
vonenet_r_ecoset,SVM,IC,0.21066666666666667
vonenet_r_ecoset,SVM,IC,0.19833333333333333
vonenet_r_ecoset,SVM,IC,0.193
vonenet_r_ecoset,SVM,IC,0.201
vonenet_r_ecoset,SVM,IC,0.20266666666666666
vonenet_r_ecoset,SVM,IC,0.197
vonenet_r_ecoset,SVM,IC,0.19733333333333333
vonenet_r_ecoset,SVM,IC,0.20066666666666666
vonenet_r_ecoset,SVM,IC,0.20166666666666666
vonenet_r_ecoset,SVM,IC,0.195
vonenet_r_ecoset,SVM,IC,0.20766666666666667
vonenet_r_ecoset,SVM,IC,0.20433333333333334
vonenet_r_ecoset,SVM,IC,0.21233333333333335
vonenet_r_ecoset,SVM,IC,0.20933333333333334
vonenet_r_ecoset,SVM,IC,0.20533333333333334
vonenet_r_ecoset,SVM,IC,0.19633333333333333
vonenet_r_ecoset,SVM,IC,0.21
vonenet_r_ecoset,Ridge,IC,0.019333333333333334
vonenet_r_ecoset,Ridge,IC,0.02033333333333333
vonenet_r_ecoset,Ridge,IC,0.019333333333333334
vonenet_r_ecoset,Ridge,IC,0.020666666666666667
vonenet_r_ecoset,Ridge,IC,0.026
vonenet_r_ecoset,Ridge,IC,0.021333333333333333
vonenet_r_ecoset,Ridge,IC,0.021666666666666667
vonenet_r_ecoset,Ridge,IC,0.019333333333333334
vonenet_r_ecoset,Ridge,IC,0.021333333333333333
vonenet_r_ecoset,Ridge,IC,0.023333333333333334
vonenet_r_ecoset,Ridge,IC,0.023333333333333334
vonenet_r_ecoset,Ridge,IC,0.023333333333333334
vonenet_r_ecoset,Ridge,IC,0.019
vonenet_r_ecoset,Ridge,IC,0.022333333333333334
vonenet_r_ecoset,Ridge,IC,0.019666666666666666
vonenet_r_ecoset,Ridge,IC,0.020666666666666667
vonenet_r_ecoset,Ridge,IC,0.022
vonenet_r_ecoset,Ridge,IC,0.018
vonenet_r_ecoset,Ridge,IC,0.016666666666666666
vonenet_r_ecoset,Ridge,IC,0.02266666666666667
