model,classifier,train_ims,condition,acc,ci_low,ci_high,fig_number
3yrold-fast,,,perturbed,0.6282515733053331,0.5457822071938442,0.7178604451747397,0
3yrold-slow,,,perturbed,0.7829640068189354,0.6988621071424456,0.8645856260195912,0
4yrold-fast,,,perturbed,0.795519140785685,0.7424586550092065,0.848242706665271,0
4yrold-slow,,,perturbed,0.8922123015873016,0.8379427083333333,0.9424869791666667,0
5yrold-fast,,,perturbed,0.878058384284888,0.8244393327928338,0.9259578892285659,0
5yrold-slow,,,perturbed,0.9120039682539682,0.8674603174603176,0.9529761904761905,0
Adult-fast,,,perturbed,0.9523635477582846,0.904358552631579,0.9883040935672516,0
Adult-slow,,,perturbed,1.0,1.0,1.0,0
VoneNet_FF-ImageNet-Sketch,KNN,250,Pert,0.5289880952380953,0.5157738095238096,0.5423809523809523,1
VoneNet_R-ImageNet-Sketch,NC,300,Pert,0.5319642857142858,0.5085119047619048,0.5555357142857142,1
