obj1,obj2,overall,complete_overall,perturbed_overall,deleted_overall,complete_3,complete_4,complete_5,perturbed_3,perturbed_4,perturbed_5,deleted_3,deleted_4,deleted_5,complete_slow,complete_fast,perturbed_slow,perturbed_fast,deleted_slow,deleted_fast,complete_slow_3,complete_slow_4,complete_slow_5,complete_fast_3,complete_fast_4,complete_fast_5,perturbed_slow_3,perturbed_slow_4,perturbed_slow_5,perturbed_fast_3,perturbed_fast_4,perturbed_fast_5,deleted_slow_3,deleted_slow_4,deleted_slow_5,deleted_fast_3,deleted_fast_4,deleted_fast_5
airplane,apple,0.75,0.8,0.8,0.5,1.0,0.0,1.0,1.0,0.75,,0.0,,1.0,0.0,1.0,0.6666666666666666,1.0,0.5,,,0.0,,1.0,,1.0,,0.6666666666666666,,1.0,1.0,,0.0,,1.0,,,
airplane,bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,chair,0.6666666666666666,1.0,0.5,0.3333333333333333,1.0,,1.0,,0.5,,0.0,0.5,,1.0,1.0,0.5,,0.0,0.5,1.0,,,1.0,,1.0,,0.5,,,,,0.0,,,,0.5,
airplane,cow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,elephant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,flower,0.8461538461538461,1.0,0.8333333333333334,0.75,,1.0,1.0,1.0,1.0,0.6666666666666666,,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,,1.0,,,,1.0,,1.0,1.0,1.0,,0.5,,,1.0,,0.0,1.0
airplane,foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,fork,0.6363636363636364,0.8,1.0,0.4,0.5,1.0,1.0,,,1.0,0.5,0.3333333333333333,,1.0,0.75,,1.0,0.0,0.5,1.0,,,0.0,1.0,1.0,,,,,,1.0,0.0,,,1.0,0.3333333333333333,
airplane,frog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,guitar,0.875,1.0,0.6666666666666666,1.0,,,1.0,,0.5,1.0,1.0,,1.0,1.0,1.0,,0.6666666666666666,1.0,1.0,,,1.0,,,1.0,,,,,0.5,1.0,1.0,,,,,1.0
airplane,key,0.7857142857142857,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,,1.0,0.5,0.6666666666666666,1.0,1.0,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1.0,,1.0,1.0,1.0,,,,0.0,1.0,,1.0,1.0,0.0,,0.0,1.0
airplane,kite,0.8181818181818182,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,,1.0,0.5,,1.0,1.0,,0.6666666666666666,1.0,0.5,,,1.0,1.0,1.0,1.0,,,,1.0,0.5,,1.0,,,,0.5,
airplane,lamp,0.75,1.0,0.6,0.6666666666666666,1.0,1.0,,0.0,0.5,1.0,1.0,0.5,,1.0,,,0.6,0.6666666666666666,,1.0,1.0,,,,,,,,0.0,0.5,1.0,1.0,0.5,,,,
airplane,leaf,0.6666666666666666,0.6666666666666666,0.6,0.75,,0.5,1.0,0.5,1.0,0.5,1.0,0.6666666666666666,,0.5,1.0,0.0,0.75,0.5,1.0,,0.5,,,,1.0,0.0,,,1.0,1.0,0.5,,0.5,,1.0,1.0,
airplane,rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,spoon,0.875,1.0,0.75,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,,1.0,,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,0.0,,1.0,
airplane,squirrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,tree,0.6666666666666666,0.8,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,,0.5,0.5,,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.5,,,,,1.0,,0.5,0.0,,1.0,0.0,,,1.0
airplane,truck,0.8333333333333334,1.0,0.8,0.8,1.0,1.0,,1.0,1.0,0.6666666666666666,,0.6666666666666666,1.0,,1.0,0.5,1.0,1.0,0.75,,,,1.0,1.0,,,1.0,0.0,1.0,,1.0,,,1.0,,0.6666666666666666,1.0
airplane,turtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airplane,umbrella,0.6363636363636364,1.0,0.25,0.75,1.0,1.0,1.0,0.0,0.5,0.0,0.0,,1.0,1.0,1.0,0.0,0.5,0.75,,1.0,,,,1.0,1.0,0.0,,0.0,,0.5,,0.0,,1.0,,,
apple,airplane,0.75,0.8,0.8,0.5,1.0,0.0,1.0,1.0,0.75,,0.0,,1.0,0.0,1.0,0.6666666666666666,1.0,0.5,,,0.0,,1.0,,1.0,,0.6666666666666666,,1.0,1.0,,0.0,,1.0,,,
apple,bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
