model,obj1,obj2,condition,train_acc,acc
vgg19,airplane,apple,Outline,1.0,0.5
vgg19,airplane,bike,Outline,1.0,0.5
vgg19,airplane,chair,Outline,1.0,0.5
vgg19,airplane,flower,Outline,1.0,0.5
vgg19,airplane,fork,Outline,1.0,0.5
vgg19,airplane,guitar,Outline,1.0,0.6
vgg19,airplane,key,Outline,1.0,0.5
vgg19,airplane,kite,Outline,1.0,0.5
vgg19,airplane,lamp,Outline,1.0,0.5
vgg19,airplane,leaf,Outline,1.0,0.5
vgg19,airplane,spoon,Outline,1.0,0.5
vgg19,airplane,tree,Outline,1.0,0.5
vgg19,airplane,truck,Outline,1.0,0.5333333333333333
vgg19,airplane,umbrella,Outline,1.0,0.5
vgg19,apple,airplane,Outline,1.0,0.5666666666666667
vgg19,apple,bike,Outline,1.0,0.8333333333333334
vgg19,apple,chair,Outline,1.0,0.9666666666666667
vgg19,apple,flower,Outline,1.0,0.7
vgg19,apple,fork,Outline,1.0,0.5
vgg19,apple,guitar,Outline,1.0,0.5666666666666667
vgg19,apple,key,Outline,1.0,0.5
vgg19,apple,kite,Outline,1.0,0.7
vgg19,apple,lamp,Outline,1.0,0.5
vgg19,apple,leaf,Outline,1.0,0.6333333333333333
vgg19,apple,spoon,Outline,1.0,0.5
vgg19,apple,tree,Outline,1.0,0.5666666666666667
vgg19,apple,truck,Outline,1.0,0.5
vgg19,apple,umbrella,Outline,1.0,0.5333333333333333
vgg19,bike,airplane,Outline,1.0,0.5
vgg19,bike,apple,Outline,1.0,0.8333333333333334
vgg19,bike,chair,Outline,1.0,0.7333333333333333
vgg19,bike,flower,Outline,1.0,0.6666666666666666
vgg19,bike,fork,Outline,1.0,0.5
vgg19,bike,guitar,Outline,1.0,0.6
vgg19,bike,key,Outline,1.0,0.5
vgg19,bike,kite,Outline,1.0,0.6666666666666666
vgg19,bike,lamp,Outline,1.0,0.5333333333333333
vgg19,bike,leaf,Outline,1.0,0.5333333333333333
vgg19,bike,spoon,Outline,1.0,0.5
vgg19,bike,tree,Outline,1.0,0.5
vgg19,bike,truck,Outline,1.0,0.4666666666666667
vgg19,bike,umbrella,Outline,1.0,0.43333333333333335
vgg19,chair,airplane,Outline,1.0,0.5
vgg19,chair,apple,Outline,1.0,0.9333333333333333
vgg19,chair,bike,Outline,1.0,0.7
vgg19,chair,flower,Outline,1.0,1.0
vgg19,chair,fork,Outline,1.0,0.5
vgg19,chair,guitar,Outline,1.0,0.7666666666666667
vgg19,chair,key,Outline,1.0,0.5
vgg19,chair,kite,Outline,1.0,0.9666666666666667
vgg19,chair,lamp,Outline,1.0,0.5333333333333333
vgg19,chair,leaf,Outline,1.0,0.9666666666666667
vgg19,chair,spoon,Outline,1.0,0.5
vgg19,chair,tree,Outline,1.0,0.7666666666666667
vgg19,chair,truck,Outline,1.0,0.5333333333333333
vgg19,chair,umbrella,Outline,1.0,0.6333333333333333
vgg19,flower,airplane,Outline,1.0,0.5
vgg19,flower,apple,Outline,1.0,0.6666666666666666
vgg19,flower,bike,Outline,1.0,0.7
vgg19,flower,chair,Outline,1.0,1.0
vgg19,flower,fork,Outline,1.0,1.0
vgg19,flower,guitar,Outline,1.0,0.6666666666666666
vgg19,flower,key,Outline,1.0,0.7666666666666667
vgg19,flower,kite,Outline,1.0,0.9333333333333333
vgg19,flower,lamp,Outline,1.0,0.9666666666666667
vgg19,flower,leaf,Outline,1.0,0.6333333333333333
vgg19,flower,spoon,Outline,1.0,0.9666666666666667
vgg19,flower,tree,Outline,1.0,0.9
vgg19,flower,truck,Outline,1.0,0.5
vgg19,flower,umbrella,Outline,1.0,0.5333333333333333
vgg19,fork,airplane,Outline,1.0,0.5
vgg19,fork,apple,Outline,1.0,0.5
vgg19,fork,bike,Outline,1.0,0.5
vgg19,fork,chair,Outline,1.0,0.5
vgg19,fork,flower,Outline,1.0,0.9333333333333333
vgg19,fork,guitar,Outline,1.0,0.5
vgg19,fork,key,Outline,1.0,0.8333333333333334
vgg19,fork,kite,Outline,1.0,0.5333333333333333
vgg19,fork,lamp,Outline,1.0,0.7666666666666667
vgg19,fork,leaf,Outline,1.0,1.0
vgg19,fork,spoon,Outline,1.0,0.7333333333333333
vgg19,fork,tree,Outline,1.0,0.6
vgg19,fork,truck,Outline,1.0,0.5
vgg19,fork,umbrella,Outline,1.0,0.5
vgg19,guitar,airplane,Outline,1.0,0.6
vgg19,guitar,apple,Outline,1.0,0.7
vgg19,guitar,bike,Outline,1.0,0.7
vgg19,guitar,chair,Outline,1.0,0.6333333333333333
vgg19,guitar,flower,Outline,1.0,0.6
vgg19,guitar,fork,Outline,1.0,0.5
vgg19,guitar,key,Outline,1.0,0.5
vgg19,guitar,kite,Outline,1.0,0.6
vgg19,guitar,lamp,Outline,1.0,0.5
vgg19,guitar,leaf,Outline,1.0,0.5
vgg19,guitar,spoon,Outline,1.0,0.5
vgg19,guitar,tree,Outline,1.0,0.5333333333333333
