model,obj1,obj2,condition,train_acc,acc
vit,airplane,apple,Pert,1.0,0.95
vit,airplane,bike,Pert,1.0,0.5
vit,airplane,chair,Pert,1.0,0.95
vit,airplane,flower,Pert,1.0,0.55
vit,airplane,fork,Pert,1.0,0.55
vit,airplane,guitar,Pert,1.0,0.9
vit,airplane,key,Pert,1.0,0.9
vit,airplane,kite,Pert,1.0,0.9
vit,airplane,lamp,Pert,1.0,1.0
vit,airplane,leaf,Pert,1.0,0.65
vit,airplane,spoon,Pert,1.0,0.65
vit,airplane,tree,Pert,1.0,0.5
vit,airplane,truck,Pert,1.0,0.5
vit,airplane,umbrella,Pert,1.0,0.5
vit,apple,airplane,Pert,1.0,0.75
vit,apple,bike,Pert,1.0,0.5
vit,apple,chair,Pert,1.0,0.7
vit,apple,flower,Pert,1.0,0.6
vit,apple,fork,Pert,1.0,0.5
vit,apple,guitar,Pert,1.0,0.6
vit,apple,key,Pert,1.0,0.5
vit,apple,kite,Pert,1.0,0.5
vit,apple,lamp,Pert,1.0,0.65
vit,apple,leaf,Pert,1.0,0.6
vit,apple,spoon,Pert,1.0,0.5
vit,apple,tree,Pert,1.0,0.5
vit,apple,truck,Pert,1.0,0.5
vit,apple,umbrella,Pert,1.0,0.5
vit,bike,airplane,Pert,1.0,0.5
vit,bike,apple,Pert,1.0,0.5
vit,bike,chair,Pert,1.0,0.5
vit,bike,flower,Pert,1.0,0.55
vit,bike,fork,Pert,1.0,0.5
vit,bike,guitar,Pert,1.0,0.5
vit,bike,key,Pert,1.0,0.5
vit,bike,kite,Pert,1.0,0.5
vit,bike,lamp,Pert,1.0,0.5
vit,bike,leaf,Pert,1.0,0.55
vit,bike,spoon,Pert,1.0,0.5
vit,bike,tree,Pert,1.0,0.6
vit,bike,truck,Pert,1.0,0.55
vit,bike,umbrella,Pert,1.0,0.5
vit,chair,airplane,Pert,1.0,0.95
vit,chair,apple,Pert,1.0,0.75
vit,chair,bike,Pert,1.0,0.6
vit,chair,flower,Pert,1.0,0.6
vit,chair,fork,Pert,1.0,0.5
vit,chair,guitar,Pert,1.0,0.5
vit,chair,key,Pert,1.0,0.5
vit,chair,kite,Pert,1.0,0.5
vit,chair,lamp,Pert,1.0,0.5
vit,chair,leaf,Pert,1.0,0.75
vit,chair,spoon,Pert,1.0,0.5
vit,chair,tree,Pert,1.0,0.5
vit,chair,truck,Pert,1.0,0.5
vit,chair,umbrella,Pert,1.0,0.65
vit,flower,airplane,Pert,1.0,0.55
vit,flower,apple,Pert,1.0,0.6
vit,flower,bike,Pert,1.0,0.6
vit,flower,chair,Pert,1.0,0.65
vit,flower,fork,Pert,1.0,0.5
vit,flower,guitar,Pert,1.0,0.5
vit,flower,key,Pert,1.0,0.5
vit,flower,kite,Pert,1.0,0.5
vit,flower,lamp,Pert,1.0,0.5
vit,flower,leaf,Pert,1.0,0.45
vit,flower,spoon,Pert,1.0,0.5
vit,flower,tree,Pert,1.0,0.5
vit,flower,truck,Pert,1.0,0.55
vit,flower,umbrella,Pert,1.0,0.6
vit,fork,airplane,Pert,1.0,0.55
vit,fork,apple,Pert,1.0,0.5
vit,fork,bike,Pert,1.0,0.5
vit,fork,chair,Pert,1.0,0.5
vit,fork,flower,Pert,1.0,0.5
vit,fork,guitar,Pert,1.0,0.5
vit,fork,key,Pert,0.998,0.5
vit,fork,kite,Pert,1.0,0.5
vit,fork,lamp,Pert,0.9970000000000001,0.5
vit,fork,leaf,Pert,1.0,0.5
vit,fork,spoon,Pert,0.99,0.5
vit,fork,tree,Pert,1.0,0.5
vit,fork,truck,Pert,1.0,0.5
vit,fork,umbrella,Pert,1.0,0.5
vit,guitar,airplane,Pert,1.0,0.95
vit,guitar,apple,Pert,1.0,0.55
