model,obj1,obj2,condition,train_acc,acc
vonenet_r_ecoset,airplane,apple,IC,1.0,0.7666666666666667
vonenet_r_ecoset,airplane,bike,IC,1.0,0.5
vonenet_r_ecoset,airplane,chair,IC,1.0,0.6333333333333333
vonenet_r_ecoset,airplane,flower,IC,1.0,0.6333333333333333
vonenet_r_ecoset,airplane,fork,IC,1.0,0.6666666666666666
vonenet_r_ecoset,airplane,guitar,IC,1.0,0.5333333333333333
vonenet_r_ecoset,airplane,key,IC,1.0,0.6666666666666666
vonenet_r_ecoset,airplane,kite,IC,1.0,0.7333333333333333
vonenet_r_ecoset,airplane,lamp,IC,1.0,0.6
vonenet_r_ecoset,airplane,leaf,IC,1.0,0.8
vonenet_r_ecoset,airplane,spoon,IC,1.0,0.26666666666666666
vonenet_r_ecoset,airplane,tree,IC,1.0,0.7333333333333333
vonenet_r_ecoset,airplane,truck,IC,1.0,0.43333333333333335
vonenet_r_ecoset,airplane,umbrella,IC,1.0,0.5666666666666667
vonenet_r_ecoset,apple,airplane,IC,1.0,0.8
vonenet_r_ecoset,apple,bike,IC,1.0,0.5
vonenet_r_ecoset,apple,chair,IC,1.0,0.6333333333333333
vonenet_r_ecoset,apple,flower,IC,1.0,0.4
vonenet_r_ecoset,apple,fork,IC,1.0,0.6333333333333333
vonenet_r_ecoset,apple,guitar,IC,1.0,0.6
vonenet_r_ecoset,apple,key,IC,1.0,0.5333333333333333
vonenet_r_ecoset,apple,kite,IC,1.0,0.7666666666666667
vonenet_r_ecoset,apple,lamp,IC,1.0,0.6333333333333333
vonenet_r_ecoset,apple,leaf,IC,1.0,0.5
vonenet_r_ecoset,apple,spoon,IC,1.0,0.5
vonenet_r_ecoset,apple,tree,IC,1.0,0.5666666666666667
vonenet_r_ecoset,apple,truck,IC,1.0,0.5333333333333333
vonenet_r_ecoset,apple,umbrella,IC,1.0,0.7
vonenet_r_ecoset,bike,airplane,IC,1.0,0.4666666666666667
vonenet_r_ecoset,bike,apple,IC,1.0,0.6
vonenet_r_ecoset,bike,chair,IC,1.0,0.6333333333333333
vonenet_r_ecoset,bike,flower,IC,1.0,0.5666666666666667
vonenet_r_ecoset,bike,fork,IC,1.0,0.26666666666666666
vonenet_r_ecoset,bike,guitar,IC,1.0,0.5333333333333333
vonenet_r_ecoset,bike,key,IC,1.0,0.4
vonenet_r_ecoset,bike,kite,IC,1.0,0.6
vonenet_r_ecoset,bike,lamp,IC,1.0,0.36666666666666664
vonenet_r_ecoset,bike,leaf,IC,1.0,0.6
